title,rating,comments,year
血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016
你的名字。,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016
心灵奇旅,8.7,1132191,2020
背靠背，脸对脸,9.5,176922,1994
我是山姆,9.0,373623,2001
阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。,2011
恐怖直播,8.7,恐怖分子的“秋菊打官司”。,2013
黑客帝国3：矩阵革命,8.8,494053,2003
小丑,8.7,1119354,2019
三块广告牌,8.7,怼天怼地，你走后，她与世界为敌。,2017
电锯惊魂,8.7,真相就在眼前。,2004
谍影重重3,8.9,像吃了苏打饼一样干脆的电影。,2007
达拉斯买家俱乐部,8.8,Jared Leto的腿比女人还美！,2013
无间道2,8.8,561904,2003
疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。,2013
末路狂花,9.0,340324,1991
高山下的花环,9.5,154982,1984
绿里奇迹,8.9,385093,1999
爱在午夜降临前,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013
机器人之梦,9.1,415352,2023
海街日记,8.8,是枝裕和的家庭习作。,2015
疯狂的石头,8.6,中国版《两杆大烟枪》。,2006
雨中曲,9.1,265543,1952
风之谷,8.9,391528,1984
2001太空漫游,8.9,391063,1968
上帝之城,9.0,331534,2002
心迷宫,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014
英雄本色,8.6,602680,1986
记忆碎片,8.7,664813,2000
纵横四海,8.8,471121,1991
无敌破坏王,8.7,迪士尼和皮克斯拿错剧本的产物。,2012
卢旺达饭店,8.9,当这个世界闭上双眼，他却敞开了怀抱。,2004
小偷家族,8.7,我们组成了家。,2018
恐怖游轮,8.5,不要企图在重复中寻找已经失去的爱。,2009
东京教父,9.0,287515,2003
冰川时代,8.7,682129,2002
牯岭街少年杀人事件,8.9,364934,1991
魔女宅急便,8.7,521025,1989
芙蓉镇,9.3,187227,1987
岁月神偷,8.7,岁月流逝，来日可追。,2010
忠犬八公物语,9.2,217256,1987
荒蛮故事,8.7,始于荒诞，止于更荒诞。,2014
遗愿清单,8.7,用剩余不多的时间，去燃烧整个生命。,2007
大佛普拉斯,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,2017
源代码,8.6,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011
疯狂的麦克斯4：狂暴之路,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,2015
花束般的恋爱,8.6,815610,2021
你看起来好像很好吃,8.9,感情不分食草或者食肉。,2010
贫民窟的百万富翁,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008
可可西里,8.9,坚硬的信仰。,2004
白日梦想家,8.6,637442,2013
城市之光,9.3,171070,1931
波西米亚狂想曲,8.6,685345,2018
爆裂鼓手,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014
东邪西毒,8.6,632363,1994
青蛇,8.6,597799,1993
爱乐之城,8.4,1087605,2016
哈利·波特与死亡圣器(上),8.6,最忠于原著的一部。,2010
无耻混蛋,8.7,昆汀同学越来越变态了，比北野武还杜琪峰。,2009
终结者2：审判日,8.8,382421,1991
黑天鹅,8.6,黑暗之美。,2010
大红灯笼高高挂,8.8,366132,1991
初恋这件小事,8.5,黑小鸭速效美白记。,2010
新龙门客栈,8.7,505298,1992
人工智能,8.7,498852,2001
雨人,8.7,441043,1988
千钧一发,8.8,346893,1997
崖上的波妞,8.6,571248,2008
虎口脱险,8.9,293337,1966
罗生门,8.8,355837,1950
哈利·波特与凤凰社,8.6,689005,2007
彗星来的那一夜,8.6,小成本大魅力。,2013
真爱至上,8.5,804432,2003
恋恋笔记本,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,2004
海边的曼彻斯特,8.6,我们都有权利不与自己的过去和解。,2016
火星救援,8.5,826020,2015
黑客帝国2：重装上阵,8.7,452428,2003
步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008
奇迹男孩,8.6,世界不完美，爱会有奇迹。,2017
千年女优,8.8,315339,2001
战争之王,8.7,做一颗让别人需要你的棋子。,2005
冰雪奇缘,8.5,819344,2013
谍影重重2,8.7,谁说王家卫镜头很晃？,2004
萤火虫之墓,8.7,437180,1988
蜘蛛侠：平行宇宙,8.6,752099,2018
攻壳机动队,9.0,215349,1995
血钻,8.7,每个美丽事物背后都是滴血的现实。,2006
魂断蓝桥,8.8,308798,1940
隐藏人物,8.9,268610,2016
房间,8.7,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015
小姐,8.5,567600,2016
